A,B,C,D,E,target
0.7460957049199006,-0.37914756287992274,-0.3768484355426769,-1.0701184090887068,0.9633772171538567,1
-2.85214368516571,0.9430460873225178,0.9407589023468865,3.429004063667633,-2.8217049154781764,0
-1.2463302428446157,0.4574156062209908,0.4853292441979623,1.596697051612197,-1.3609123818489843,0
-1.0929840018926134,-2.7396771671895563,0.4041322907993985,1.3717985080999724,-1.1564605651153044,0
-1.219011384755924,-0.07785475594085076,-0.7240162908930466,-0.025413776121183118,0.7338744399779482,1
-0.33387631091458325,-0.7931173627076716,-0.5839410973151378,-0.5175548951057864,0.8653245481093539,1
-1.6140483148134313,0.14206180518723566,0.4271830891323643,1.8012120974723547,-1.41560140512269,0
1.5321780021005411,-0.21673147057553863,-0.2989105006239136,-1.5687019382659282,1.1601548025236545,1
1.6182440145960568,0.09632135592119682,1.071255770973035,0.17953841772809043,-1.1639212662339502,0
2.520365098331,0.9367424635352571,0.9378709522945342,-0.6876725425515361,-0.5542413561153354,0
0.2712075329965328,0.4986902749098275,1.5338481323642468,1.8232257165273835,-2.528075641633991,0
0.12354690275364955,1.7426687806556311,0.589785339526326,0.6863076777325129,-0.9639667613881578,0
-0.753513957668826,0.19429293804577166,0.4394252652720435,1.158650305639334,-1.0742993538243861,0
0.8601416137644714,1.412327706037443,0.7001215720848083,0.2685046966689512,-0.8438405628154546,0
2.5444389075132046,-0.11048940506592783,-0.2569920447295954,-2.2881240012844444,1.5142305183474036,1
-1.332327923481996,2.011256681463137,1.1148440345909367,2.4960213814768535,-2.4815632908588117,0
-1.777343174790536,-0.5394546333745014,-1.278567343413896,-0.3322267571542809,1.4540467194747957,1
2.719763373281711,-0.4706376581547914,-0.21258029014927407,-2.3635392874479795,1.5115577119246852,1
0.5463398576570507,-1.550429345083481,-0.4006169774249518,-0.948667983572904,0.9202003158428236,1
-1.1939952701960848,-1.0180418752873648,-0.6500614616498116,0.053353115151831526,0.6170108307876414,1
0.4951710444966828,-0.7290446587946957,-0.29913552675332766,-0.7751329431261784,0.7238346529243916,1
-0.33516074410005703,0.07826017516166135,0.16363958711445237,0.4732398930952595,-0.4230381563911193,0
0.36398307186916323,-0.5142339659399888,-0.3666253039179891,-0.7640615195121926,0.7848497802603266,1
0.8597723738079294,-0.4700328827008748,-0.34262463588313247,-1.1118290936856898,0.9522933940076047,1
-1.6881129886582817,0.251484415021537,-0.743278368545295,0.30819737120578883,0.5695066927003698,1
-2.6156973241872543,0.2205076557571733,-1.6555555709493235,-0.18957566447392574,1.7504159993497108,1
0.430764090280237,-0.5028167006425383,0.3290217314890802,0.10586549301658635,-0.3853853418688904,1
-0.7298827842109179,0.8758327615873309,0.43678914861045337,1.1370695037261247,-1.0598066029043045,0
1.3119327137360455,1.1813786012882859,0.8075298278284833,0.06485264706430033,-0.8386079137589542,0
-1.226264530855413,-0.8889713580954499,0.6354041051620936,1.7800380748376008,-1.6109890904426034,0
